codes,day,city,name,address,startTime,isAccessible
OD,Mon,Attleboro,Desire to Stop,"Cameron Bldg., 68 Falmouth St.",Noon-1:00 p.m.,Handicap Yes
ODM,Mon,Attleboro,Men's Fellowship,"Cameron Bldg., 68 Falmouth St",7:00 p.m.,Handicap Yes
O*,Mon,Attleboro,Jewelry City,"Advent Christian Ch., 560 Pleasant St.",7:30 p.m., 
CBB,Mon,Bedford,First Things First,"1st Ch. Christ, 25 Great Rd.",6:00-6:45 a.m., 
OBB,Mon,Bellingham,Crossroads,"Baptist Church, 1172 S. Main St.",7-8 p.m., 
CM,Mon,Bellingham,Drop the Rock,"How It Works Club, 176 Mechanic St",7-8 pm, 
O,Mon,Belmont,Reality,"St. Joseph Ch., 130 Common St.",7:30 p.m.,Handicap Yes
OSD,Mon,Beverly,Second Chance,"White Whale, 9 Hale St.",5:30 -6:30 p.m., 
OBB12W,Mon,Beverly, ,"Beverly Hosp.Lecture Hall, 85 Herrick St.",7:00 p.m., 
CBBM,Mon,Beverly,Monday Men's Meeting,"St. Peters Ch., 4 Ocean St.",7:00 p.m., 
CBB,Mon,Billerica,Big Book,"1st Cong. Ch., 18 Andover Rd.",7:30 p.m., 
O12,Mon,Blackstone,12 Golden Steps,"St. Theresa, 630 Rathbun St.",12-1 p.m., 
OSD,Mon,Boston,Rise & Shine,"St. Francis Hse. Shelter, 39 Boylston St.",7-8 a.m., 
O12,Mon,Boston,Back Bay Steps,Arlington St. Shurch,"7:30 a.m., Trad. 1st Mon.", 
O12,Mon,Boston,Ashburton-Noon,Alley next to 20 Ashburton Pl.,Noon-1 p.m., 
ODG,Mon,Boston,Sober Living,74 Kilmarnock St.,Noon,Handicap Yes
C12W,Mon,Boston,Women's 12 Step,"Paulist Catholic Center, Park St., 3rd Fl","Noon, not holidays",Handicap Yes
OSD,Mon,Boston,Just For Today,"Emmanuel Ch., 15 Newbury St. 2nd Fl.",Noon - 1p.m., 
C12,Mon,Boston,Lunchtime,"B.U. Marsh Chapel Rm., 735 Comm. Ave.",1:00-2:00 p.m., 
OD,Mon,Boston,Homeless AA,138 Tremont St.,2-3 p.m.,Handicap Yes
C12&T,Mon,Boston,Arch A,"St. Anthony's, 100 Arch St.",5:45-6:45 p.m., 
CBB,Mon,Boston,Chock Full of Nuts,"Community Rm., 768 Hunington Ave.",6:00 p.m.,Handicap Yes
OSD,Mon,Boston,Bottom of the Hill,"St. Paul's, 138 Tremont St.",6-7 p.m.,Handicap Yes
O12W,Mon,Boston,Women's Serenity,"Emmanuel Church, 15 Newbury St.",6:30 p.m., 
OSDG,Mon,Boston,How to Stop Drinking,"Ruggles Baptist Ch., 874 Beacon St.",7 - 8 pm, 
CBB,Mon,Boston,Montgomery Place,"Haley House, 23 Dartmouth St.",7-8 p.m.,Handicap Yes
CBB,Mon,Boston,Bunch of Drunks,"Mariners House, 11 North Square",7-8 p.m., 
OSD,Mon,Boston,Sahara Sunrise,"Harvard Vanguard, 147 Milk St., Conf. Rm. 1B",7:30-8:30 a.m., 
OBB,Mon,Boston,Mission Park,"Flynn Kitchen, 805 Huntington Ave.",8-9 p.m., 
O,Mon,Boston,Resevoir Dogs,"Emmanuel Ch., 15 Newbury St.",8:00-9:00 p.m.,Handicap Yes
C12,Mon,Bourne,Bourne Again,"Methodist C., 37 Sandwich Rd.",8:00 p.m., 
OD,Mon,Boylston,Common,"First Cong., 10 Church St.",7:30-8:30 p.m., 
OD,Mon,Braintree,Anchorage,"St. Thomas Moore, 8 Hawthorne Rd.",11:45 a.m.-12:45 p.m., 
OB12W,Mon,Braintree,Women's BBSS,"Union Cong. Ch. basement, 74A Commercial",7:00 p.m., 
OB12M,Mon,Braintree,Men's BBSS,"Emanuel Episcopal, 519 Washington St.",7:00 p.m., 
O,Mon,Braintree,Recovery,"First Baptist Ch., 594 Washington St.",7:30-8:30 pm, 
O*,Mon,Braintree,Bay,"All Souls Ch., 196 Elm Street","8-9 p.m., Beg 7:00 p.m.", 
OD,Mon,Brewster,5 Alive,"Club Dry Dock, 1439 Main St., Rte. 6A",5 p.m., 
OD,Mon,Brewster,Grateful Living,"United Meth. Ch., 701 Airline Rd.",7:15-8:15 a.m.,Handicap Yes
O,Mon,Brewster, ,"Baptist Church, 1832 Main St., Rt. 6A",7:30 p.m.,Handicap Yes
CBB,Mon,Bridgewater,Big Book Mon,"United Meth. Ch., 35 School St.",NOON - 1p.m., 
C12W,Mon,Bridgewater,Time To Change,"Soccar Hall, Summer & Flag St.",7:00 p.m., 
OD,Mon,Brighton,Allston/Brighton Beginners,"Jackson Mann Sch., Café., Union Square",8 p.m., 
CBB,Mon,Brockton,Easy Does It,"St. Patrick's, Fr. Kenny Hall, 335 Main St.",10 a.m., 
CDYP,Mon,Brockton,Regain Your Freedom,"Independence Academy, 460 Belmont St.",3:30-5:p.m., 
C12W,Mon,Brockton,Stepping Out,"1st Evangelica Ch., 900 Main St.",6:45-7:45 p.m.,Handicap Yes
O,Mon,Brockton,Rebound,"1st Evangelical Lutheran Ch., 900 Main St.",8:00 - 9:00 p.m., 
OBB12W,Mon,Brookline,Miracles On Monday,"All Saints, 1773 Beacon St.",7 p.m., 
CSD,Mon,Brookline,Monmouth,"Ch. of Our Savior, Carlton & Monmouth",7:30 - 8:30 p.m., 
CBB,Mon,Brookline,Beacon By the Book,"Grad. Sch. of Psychoanalysis, 1581 Beacon St.",8 p.m.,Yes
CBB,Mon,Brookline,They Stopped In Time,"St. Paul's Ch., 15 St. Paul's St.",8:00 p.m., 
CSDW,Mon,Burlington,High Sobriety,"St. Margaret's C.C.D., 111 Winn St.",10:00 a.m., 
O,Mon,Burlington,Monday Nite,"United Ch. of Christ, 6 Lexington St.",8 p.m., 
OBB12W,Mon,Buzzards Bay,Women's BBSS,"K of C Hall, 5 Armory Rd",6- 7:30 pm, 
O,Mon,Buzzards Bay,Joy of Living,"St. Margaret's Parish Hall, 141 Main St.",7:30 - 8:30 p.m.,H
CBBW,Mon,Cambridge,Morning Glories,"1st Cong. Ch., 11 Garden St.",7-8 a.m., 
CDM,Mon,Cambridge,Hair of the Dog,"Christ Church, does'nt meet on Holidays 0 Garden St.",7:30-8:15 a.m., 
C12,Mon,Cambridge,Gratitude,"Methodist Ch., 1555 Mass. Ave",Noon -1 p.m.,Handicap Yes
CD,Mon,Cambridge,Kendall As Bill Sees It,"MIT Bldg., E-51, Room 057, 70 Memorial Dr.",12:10 - 1p.m. No holidays.,Handicap Yes
SD,Mon,Cambridge,Fresh Air,"New Jerusalem, Kirkland & Quincy Sts.",6 p.m., 
CSD,Mon,Cambridge,No Name,"HDS, Andover Hall, Rm. 103, 45 Francis Ave",7:00 p.m., 
ODG,Mon,Cambridge,Open To All,"Unitarian, 3 Church St., Harvard Sq.",7-8:15 p.m., 
OSD,Mon,Cambridge,Welcome All,"St. Paul's, Bow &Arrow Sts., H. Sq.",7:00 p.m., 
OD,Mon,Canton,Noontime,"Trinity Church, Rte. 128 & 138 North",NOON - 1p.m., 
CDM,Mon,Canton,Men's,"United Ch., 1541 Washington St.",8:00 p.m., 
ODM,Mon,Carver,Unity Mens-BYOC,"Christian Unity Hall, Church St.",6:30 - 7:30 p.m., 
C12,Mon,Carver,Rule # 62,"United Parish of Carver, Rte 58",7:30:p.m., 
OD,Mon,Centerville,Hour Of Power,"Lady /Victory, 230 S. Main",7:30-8:30 a.m., 
OD,Mon,Charlestown,DAAT,586 Rutherford Ave.,NOON-1 p.m.,Handicap Yes
CDW,Mon,Charlestown,Here & Now,"YMCA, Navy Yard",7:00 -8:00 p.m., 
C12,Mon,Chatham, ,"Our Lady Grace, Rt. 28",8:00 p.m., 
OSD,Mon,Chelmsford, ,Central Baptist on Common,12:15 -1:15 p.m., 
OSDYP,Mon,Chelmsford,Young Peoples,"Ch. Of Christ, 205 North Rd.",7-8:30 p.m., 
O12,Mon,Chelmsford,12&12 Step of the Month,"Methodist Ch., 242 Main St.",7:30 - 8:30 p.m., 
OD,Mon,Chelsea,Intercity,"St. Rose Rctry., 601 Broadway",11:30 a.m.-12:30 pm, 
O,Mon,Chelsea,Tower,"Soldiers Home, Cafeteria, 91 Crest Ave.",8:00-9:00 p.m.,Handicap Yes
OD,Mon,Clinton,Keep The Faith,"A.I.R. Center, 256 High St.",NOON, 
O12W,Mon,Clinton,Central Park Women's Step,"Ch. of Good Shepard, 209 Union St.",7:45-9 pm, 
O*,Mon,Cohasset,Unity,"Parish House, 23 North Main St.","8- 9 p.m., Beg. 6:30 p.m.", 
OBB,Mon,Concord,Sobah Camel,"Monument Hall, 62 Monument Sq.",1-Dec,Handicap Yes
C12,Mon,Concord, ,"Union Church, 1317 Main Street",8 p.m., 
OBB,Mon,Cotuit, ,"Federated Church, High St.",8:00 p.m.,Handicap Yes
OD,Mon,Cotuit,2nd Tradition,"Federated Ch., High St.",8:00 p.m.,Handicap Yes
OSD,Mon,Danvers,Eye Opener,"All Saints Epis., Holten St., Front Door",7-8 a.m., 
CD,Mon,Danvers,Road To Recovery,"All Saints Epis., Holten St.",NOON-1 p.m., 
OD,Mon,Danvers,Keep Coming,"1st Ch. Of Danvers, 41 Center St. @ Hobart",7:15-8:15 p.m., 
CD,Mon,Dartmouth,South,St. Peter's Ch. 351 Elm St.,7 p.m., 
O*,Mon,Dedham,Good Shepherd,"Church, 62 Cedar St., Oakdale Sq.","8-9 p.m., Beg. 7:00 p.m.", 
O,Mon,Dorchester,Popes Hill,"Parish of All Saints, 209 Ashmont St.",7-8 p.m., 
OD,Mon,Dorchester,Remember When,"Dorchester House, Garden Rm., 1353 Dot. Ave.",7-8 pm, 
OSD,Mon,Dorchester,Columbia Station,"St. Margaret's, 800 Columbia Rd.",7:30 p.m., 
O,Mon,Dorchester,Simply Sober,"Electricians Hall, 256 Freeport St.",7:30 - 8:30 p.m., 
SD,Mon,Dracut,Sobriety 101,"Ste. Marguerite d'Youville, 1340 Lakeview Ave.",Noon, 
CBB12,Mon,Dracut,Out Of The Woods,"St. Marguerite-d'youville, 1340 Lakeview Ave.",7-8:30 p.m., 
O12,Mon,Duxbury,Stepping Up,"St. John's Ch., 410 Washington St.",7-8:30 p.m., 
O,Mon,E. Bridgewater,KIS,"Community Covenant Ch., 400 Pleasant St.",7:30 p.m.,Handicap Yes
CBBM,Mon,Easton,Kitchen A.A.,"Knights of Columbus, 375 Foundry St., Rte 106",7-8 p.m., 
O*,Mon,Easton, ,"Lutheran Ch., 143 Lincoln St.",7:45 - 9p.m.,Handicap Yes
OSDYP,Mon,Fairhaven,Young Peoples,"Trinity Lutheran, 16 Temple St.",7-8:15 p.m., 
O,Mon,Fairhaven, ,"Cong. Ch., 34 Center St., 2nd Fl.",7:30,Handicap Yes
OD,Mon,Fall River,S.O.S.,"First Baptist Ch., 228 N. Main St.",11:45 - 12:45, 
OBB,Mon,Fall River,Turn It Over,"1st Baptist, 228 N. Main St.",5:30-6:45 p.m., 
OD,Mon,Falmouth,Each Day a New Beginning,"Wesley Methodist, 270 Gifford St.",7-8 a.m., 
CD,Mon,Falmouth,Discussion,"St. Barnabas, 91 Main St.",NOON, 
CD,Mon,Fitchburg,Keep It Simple,"Faith United Ch., 820 Main St.",NOON-1 p.m., 
O,Mon,Fitchburg,Friendship,"7th Day Advent Ch., 205 Summer St.",8-9 p.m., 
O12,Mon,Foxboro,Daily Winners,"Community Ctr., 382 South St.,",NOON-1 p.m., 
O*,Mon,Foxboro,Keep It Simple,"K of C, 14 Church St.",7:30 p.m. Beg. 6:15, 
OD,Mon,Framingham,Reflections,"Dennison Bldg., 300 Howard St.",7-8 a.m., 
OD,Mon,Framingham,Daily,"Drop In Center, Kendall St.",NOON - 1 p.m., 
OD,Mon,Framingham,11th Step Meditation,"First Baptist, 1013 Worcester Rd..",6-7:15 p.m., 
C12M,Mon,Framingham,No Excuses,"SMOC Bldg., 300 Howard St., 3rd Fl.",7-9 p.m., 
C12M,Mon,Framingham,No Excuses,"SMOC Bldg., 300 Howard St., 3rd Fl.",7-9 p.m., 
C12,Mon,Framingham,Came Believe Beg. Step,"Lutheran, 720 Edgell",7:30 p.m., 
OBB,Monday,Framingham,Big Book Workshop,"Wesley Methodist, 80 Beacon St",7:30 - 8:30 pm, 
SDM,Mon,Framingham,TSDD,"Eagles Club, 55 Park St.",8 - 9:15 p.m.,Handicap Yes
OSD,Mon,Gardner,Mid Day,205 School St,12:30 - 1:30 pm,Handicap Yes
OD,Mon,Gloucester,Cape Ann-Early Bird,"Baptist Ch., 38 Gloucester Ave.",7-8 a.m., 
C12,Mon,Gloucester,12 Steps To Freedom,"Vets Center, Emerson Ave.",7-8 p.m.,Handicap Yes
C12,Mon,Groton,Steps of Recovery,"Senior Ctr.,163 W. Main St.",7:30 p.m.,Handicap Yes
O12,Mon,Halifax,Steps,"Our Lady of the Lake,580 Monponsett St.",6:30 - 7:30 p.m., 
CSD,Mon,Hamilton,Keep It Simple,"St. Paul's, 50 Union St.",11:00 a.m.,Handicap Yes
O,Mon,Hamilton, ,"Christ Church, 149 Asbury St.",8:30-9:30 p.m.,Handicap Yes
C12,Mon,Hanover,Brothers & Sisters In Recovery,"Baptist Ch., Rt. 123 & Main",6:30-7:45 p.m., 
OD,Mon,Haverhill,C. to B./Living Sober,"St. John Baptist,110 Lincoln Ave.",NOON-1 p.m.,Handicap Yes
OBB,Mon,Haverhill,New Jericho Noontime,"Safe Haven, 127 How St",NOON-1 p.m.,Handicap Yes
CBB,Mon,Haverhill,There Is A Solution,"Whittier Pavilion, 76 Summer St.",6:45-7:45 p.m.,Handicap Yes
O,Mon,Haverhill,Original,"First Church of Christ, 10 Church St.",8:00 p.m., 
CD,Mon,Hingham,New Day,"Lutheran Ch., 916 Main St., Rte 228",7:30-8:30 a.m.,Handicap Yes
C12W,Mon,Hingham,Easy Dozen,"2nd Parish, 685 Main St., Rte. 228",7:30 p.m., 
O,Mon,Hingham,What's In A Name,"Old Ship Ch., Par. Hse., 107 Main",8-9 p.m., 
O,Mon,Holbrook,In The Wind,"St. John's, 316 So. Franklin St.",8 p.m. Beg 6:45, 
O12,Mon,Holliston,On the Beam,"1st. Baptist Ch., 40 High St.",6:30 p.m., 
OBB,Mon,Holliston,Easier Softer Way,"Christ the King Lutheran Ch., 600 Central St.",7:30 p.m., 
ODM,Mon,Hopkinton,Enough is Enough,"First Cong. Church, 146 E. Main St.",8-9 p.m., 
O,Mon,Hudson,Second Chance,"First Feder. Ch., 200 Central St.",8:00- 9:15 p.m.,Handicap Yes
OD,Mon,Hull,Summer Only,"Burke Bathhouse, 116 Hull Shore Dr..",8:30-9:30 a.m., 
C12,Mon,Hyannis, ,"St. Francis Xavier, 347 South St.",NOON-1 p.m., 
O,Mon,Hyannis,Seeing is Believing,"Federated Ch., 320 Main St.",7:30-8:30 p.m., 
OD,Mon,Hyde Park,Constant Vigilance,"Readville K of C Hall., 12 Wolcott Ct.",11:00 a.m., 
C12,Mon,Ipswich,Simply Steps,"Baptist Ch., Central St.",8-9 p.m., 
O,Mon,Jamaica Plain,Hang Together,"U.U. First Ch. of JP, 6 Eliot St",7:30 -8:30 pm, 
C12W,Mon,Jamaica Plain,Show & Tell,"Shattuck, 170 Morton St., Turnville Conf.",7:30-8:30 p.m.,Handicap Yes
C12W,Mon,Jamaica Plain,Stick To Step,"St John's, Revere & Roanoke Sts.,Enter Rear",8-9 p.m., 
OD,Mon,Kingston,Early Bird Gratitude,"VCF Ch., 8 Hilltop Rd.",7-8 a.m., 
O12,Mon,Kingston,Courage to Change,"Beal House, 222 Main St.",7:15 - 8:30 p.m., 
OSD,Mon,Lawrence,New Beginnings,"Riverside Ch., 290 Water St.",10:30-11:30 a.m.,Handicap Yes
OD,Mon,Lawrence,Just for Today,"599 Canal St., 5th Fl, Ste West 2",Noon - 1 pm,handicap Yes
O,Mon,Lawrence,Back Door,"Psychological Ctr., 11 Union St., Rear",1:30-2:30 p.m., 
O,Mon,Lawrence,Freedom,"St. Patrick's Parish Center, 11 E. Kingston St.",7-8 p.m.,Handicap Yes
OD,Mon,Lawrence,Tower Hill,"St. Augustine's, Ames St.",7:30 p.m., 
OD,Mon,Leominster,Eye Opener,"St. Mark's Youth Ctr., Cotton St.",8-9 a.m., 
OD,Mon,Leominster,High Noon,"Unitarian Universalist Ch., 15 West St.",NOON, 
CBB,Mon,Leominster,The First 100,St. Mark's Ch. 60 West St.,7 - 8 p.m.,Handicap Yes
O,Mon,Leominster,Original,"St. Leo's Sch. Cafe, 120 Main St.",7:45-9:00 p.m., 
OD,Mon,Lexington,Sober by Grace,"2 Militia Dr., Rm G-5, enter rear",6:30-7:30 a.m.,Handicap Yes
C12W,Mon,Lexington,May Day Women,"Baptist Ch., 1580 Mass. Ave.",NOON-1 p.m.,Handicap Yes
C12,Mon,Lexington,Gratitude,"Church of Redeemer, 6 Meriam St.",8 p.m., 
CDW,Mon,Lincoln,Wholeness,"First Parish Church, 14 Bedford Rd.",7:30 p.m., 
C12,Mon,Littleton,Catacombs West,"First Ch.Unitarian, Foster St.",7:30 p.m., 
CSD,Mon,Lowell,Spark of Hope Alcohol Only,"St. Rita's Shrine Basement, Mammouth Rd.",NOON,Handicap Yes
O12,Mon,Lowell,New Last Gaspers,"St. Anthony's Sch., 908 Central, downstairs",Noon-1p.m., 
ODNS,Mon,Lowell,Screwy Twoey,"Shelter, 189 Middlesex St",2-3 p.m., 
OD,Mon,Lowell,Box of Joe,"Crescent House, Comm. Rm., 15 Veteran's Way",7-8 p.m., 
OBB12,Mon,Lowell,The 3 B's,"St. Joseph Shrine, 37 Lee St.",7 p.m. No holidays., 
CD,Mon,Lunenburg,Originals,"United Parish Ch., 39 Main St.",6-7 p.m.,Handicap Yes
OD,Mon,Lynn,Recovery,"Lynn Art, 25 Exchange St., Rear",7-8 a.m., 
OSD,Mon,Lynn,Center,"Life Point Ch., 10 Baltimore St.",11-noon, 
CD,Mon,Lynn,Do It Sober,"Life Point Ch., 10 Baltimore St.",4-5 p.m., 
OD,Mon,Lynn,City Hall,"Cardinal Cushing Ctr, St. Mary's, enter Pleasant St.",7:00 - 8 p.m., 
O,Mon,Lynn,Moment Of Silence,"First Ch. of Christ, 678 Lynnfield St.",7-8 p.m., 
O,Mon,Lynn,Pass It On,"1st. Lutheran Ch., 280 Broadway",7:30-8:30 p.m., 
O,Mon,Lynn,Last Chance,"St. Stephen's, 74 So. Common St.",8-9 p.m., 
CD,Mon,Malden,B.Y.O.C.,"Club 24, 787 Salem St.",7-8 a.m., 
CD,Mon,Malden,Old Time Sobriety,"Club 24, 787 Salem St.",NOON-1 p.m., 
OD,Mon,Malden,Happy Hour,"Club 24, 787 Salem St.",4-5 p.m., 
OSDM,Mon,Malden,Maplewood Men's,"Club 24, 787 Salem St.",6:00 p.m., 
O12,Mon,Malden,Step Easy,"Lutheran Ch., 98 Waite St.",7:00 p.m., 
CBB,Mon,Marblehead,Jumpstart,8 Anderson St.,7 a.m., 
ODW,Mon,Marblehead,God's Gift,"St. Andrew's, 135 Lafayette St.",10:00 a.m., 
CD,Mon,Marblehead, ,8 Anderson St.,10:30 - 11:30 am, 
OD,Mon,Marblehead,Light one Candle,"28 Mugford St., Side Entrance, 2nd Fl.",10:30 a.m., 
CD,Mon,Marblehead,Quitin' Time,8 Anderson St.,4-5 p.m., 
CW,Mon,Marblehead,Ladies Night Out,"Old North Ch., 35 Wash. St.",7:30-8:30 p.m., 
OD,Mon,Marblehead,All Welcome,8 Anderson St.,8:30 p.m., 
OD,Mon,Marion,Eye Openers,"St. Gabriel's, 124 Front St.",7:30-8:30 a.m., 
C12,Mon,Marion, ,"St. Gabriel's, 124 Front St.",7:15 p.m., 
OD,Mon,Marlboro,Early Risers,33 Main St.,6:45-7:45 a.m.,Handicap Yes
OD,Mon,Marlboro, ,33 Main St.,NOON, 
CD,Mon,Marlboro,Simply Sober,33 Main St.,5:30-6:30 p.m.,Handicap Yes
C12,Mon,Marlboro,12 Roads Step-ARC,33 Main St.,7-8:20 p.m., 
OD,Mon,Marshfield,Living Sober,"N. Community Ch., 72 Old Main St.",10 a.m.,Handicap Yes
CBB,Mon,Marshfield, ,"Methodist Ch., 185 Plain St., Rte. 139",7:00 p.m., 
OSD,Mon,Martha's Vnyd.,Open Speaker Discussion,"Grace Ch. Par. Hse., 36 Woodlawn Ave., Vineyard Haven",Noon,Yes
OD,Mon,Martha's Vnyd.,As Bill Sees It,"Good Shepherd Par. Ctr., 55 School St., Oak Bluffs",6:00 p.m.,Yes
OBB,Mon,Martha's Vnyd.,Open Big Book,"Dukes County House of Correction, 149 Main St., Edgartown",7:00 p.m., 
CSW,Mon,Martha's Vnyd.,Women's Speaker Disc.,"Baptist Par. Hse., 66 William St., Vineyard Haven",7:30 p.m.,Handicap Yes
OD,Mon,Martha's Vnyd.,Open Speaker Discussion,"Methodist Ch., 9 Menemsha Crossroads, Chilmark",8:00 p.m.,Handicap Yes
CM12,Mon,Mattapoisett,Men's Step,"American Legion, 3 Depot St.",8:00 p.m., 
OSD,Mon,Maynard,Now,"Methodist Church, 2 Summer St.",NOON, 
CD,Mon,Medfield,Literature/Discussion,"1st Baptist, Main St.",7:30-8:30 p.m., 
O*,Mon,Medford,Grace,"Grace Church, 160 High Street",7:30-8:30 p.m.Beg. 6:30 PM,Handicap Yes
CBB,Mon,Medford, ,"Methodist Ch., 55 Otis St.",8:00 p.m., 
CD,Mon,Melrose,Midmorn. Drop In,"1st Baptist, Main & Upham Sts.",10:00-11:00 a.m., 
C12W,Mon,Melrose,Stepsisters,"St. Mary's Convent, Herbert St.",7:30 p.m., 
O12,Mon,Melrose,Wrought Iron,"Trinity Church, 131 W. Emerson St.",8-9 p.m., 
ODBB,Mon,Merrimac,Chapter 2,"Pilgrim Ch., Church St.",7:30 - 8:30 p.m., 
CD,Mon,Methuen,Primary Purpose,"Spiritual Life Ch., 126 Merrimac St., Rte. 110",10 a.m., 
OBB,Mon,Middleboro,Breakfast Club,"Cong. Ch., 38 Plymouth St.",9:30 - 10:30 a.m., 
O,Mon,Middleboro,Center,"Meth. Ch., 14 School St.",7:30-8:30 p.m., 
CD,Mon,Middleton,Preamble,"Congregational Ch., 68 Maple St., Rte. 62",5-6 p.m.,Handicap Yes
OD,Mon,Milford,Eye Opener,"Unit. Univ. Ch., 23 Pine St.",8:30 a.m., 
C12W,Mon,Milford,Timeout,"Trinity Epis., Congress & Exchange Sts.",6:30 p.m., 
O,Mon,Milford,Tritown,"Methodist Church, 39 Exchange Street",8-9 p.m.,Handicap Yes
C12,Mon,Millbury,Center,"St. Brigid's, 59 Main St.",7 - 8:15 pm, 
OD,Mon,Milton,Farm,"Methodist Parkway Ch., 158 BlueHills Pkwy.",NOON, 
CBB,Mon,Milton,Out of the Blue-East,"1st Parish Unitarian, 535 Canton Ave,",7:30-8:45 p.m., 
O,Mon,Milton,Town Of Milton,"St. Eliz. Rectory, Rear, Randolph Ave.",7:30-8:30 p.m., 
O*,Mon,Milton,Parkway,"Meth., 158 Blue Hill Pkwy.",8:00 p.m. Beg. 7:00 p.m., 
CD,Mon,Nahant,Forty Steppers,"Nahant Village Ch., 27 Cliff St.",7 p.m., 
OD,Mon,Nantucket, ,"Drop-IN CENTER, Vesper Ln.",7:00 a.m., 
OD,Mon,Nantucket,Noon,"1st Cong Ch.,62 Center St.",Noon, 
OD,Mon,Nantucket,Happy Hour,"Govin Village, Vesper Ln.",5:30 p.m., 
OD,Mon,Nantucket, ,"St. Paul's, 14 Fair St.,",8:00 p.m., 
OBB12,Mon,Nantucket, ,"Drop-In Center, Vesper Ln.",8:00 p.m., 
CBB12W,Mon,Natick,By The Book,"Christ Evangelical Lutheran Ch., 113 Union St.",7-8:15 p.m., 
BB12,Mon,Natick,Big Book Step Study,"St. Joseph's Ctr., Wilson St.",7:00 p.m., 
C12,Mon,Needham,Keep It Simple,"1st Bapt., 858 Great Plain Ave.",NOON, 
C12,Mon,Needham, ,"St. Sebastian's, Rt. 128, Great Plain Ave.",8:30 p.m., 
OD,Mon,New Bedford,AM Recovery,360 Coggeshall St.,8:00-9:00 a.m., 
OD,Mon,New Bedford,New Beginnings,366 Coggeshall St.,Noon - 1 pm, 
OD,Mon,New Bedford,Seaside Serenity,"1st Cong., Ch., 2195 Acushnet Ave.",Noon - 1 p.m., 
OSD,Mon,New Bedford,Daily Reflections,"Faith Ministries, 177 Cove St.",Noon, 
OD,Mon,New Bedford,Luz Da Noite,157 Davis St.,7:00 p.m., 
OD,Mon,New Bedford,Last Chance,"Pilgrim Methodist Ch., 635 Purchase St.",7- 8:30 p.m., 
CD,Mon,New Bedford,Living Sober,"Serenity Hall, 177 Cove St",7 p.m.,Yes
OD,Mon,Newburyport,Mon. Morn.,"Immaculate Conc., Parish Hall, 42 Green St.;",10:30 -11:30 a.m., 
O,Mon,Newburyport,Noontime,"Presbyterian ch., 29 Federal St.",NOON,Handicap yes
ODM,Mon,Newburyport,Missing Link,37 Washington St.,6:00 -7:00 p.m., 
CBB,Mon,Newburyport,Big Book,"Immaculate Conc. Par. Hall, 42 Green St.",7:15 p.m., 
OD,Mon,Newton,Jump Start,"Ch. of Messiah, 1900 Comm. Ave.",6:45 -7:45 a.m., 
OD,Mon,Newton,Reflections,"United Ch. Auburndale, 64 Hancock St.",7:00 a.m., 
O12,Mon,Newton,Norumbega,"M.D.C., 107 Charles St.",NOON, 
ODM,Mon,Newton,M.O.M.,"United Church of Auburndale, 64 Hancock St.",5:30 p.m., 
OD,Mon,Newton,New Beginners,"Second Ch., 60 Highland St., Upstrs.",6:30-7:30 p.m., 
C12,Mon,Newton,One At A Time,"MDC, 107 Charles St.",7:30-8:30 p.m., 
O*,Mon,Newton,Acceptance,"St. Mary's, 258 Concord St.",8:00-9:00 p.m., 
SDYP,Mon,No. Andover, ,"St. Michael's, 193 Main St.",7 - 8 p.m., 
ODW,Mon,No. Andover,Love/Life,"St. Paul Episcopal, 396 Main St.",7:30-8:45 p.m., 
C12W,Mon,No. Attleboro,Women's Step,"Sch. Hse., Cong. Ch., 676 Old Post Rd.",7:30 p.m., 
CBB,Mon,No. Grafton,"Happy, Joyous, Free","St. Andrew's, Rtes. 140 & 30",7:30 p.m., 
OD,Mon,Norfolk,Daily Steps,"St. Jude's, 86 Main St.",NOON-1 p.m., 
O12,Mon,Northboro, ,"Trinity Ch., 23 Main St.",10:00 a.m., 
O12,Mon,Norton,Pathways,"St. Mary's Parish, 1 Power St.",8:00 p.m., 
O,Mon,Norwell, ,"Unitarian Ch., 24 River St.",8:30 p.m.,Handicap Yes
OD,Mon,Norwood,Sunny-side Up,"St Timothy's, 650 Nichols St.",7 -8 am, 
OD,Mon,Norwood, ,"1st Baptist Ch. Hall, 71 Bond St.",NOON -1 p.m.,Handicap Yes
C12,Mon,Norwood,Candle Light,"Congregational, 100 Winter St.",7:30 p.m., 
OD,Mon,Oak Bluffs,Good Shepard Par. Ctr.,55 School,5:30 p.m., 
OD,Mon,Orleans, ,"Drop-In Center, 26 Giddiah Hill Rd.,","7 a.m., NOON, 5 p.m.",Handicap Yes
OBB12M,Mon,Orleans,Men's BBSS,"Federated Ch., 162 Main St.",7:30 p.m., 
OD,Mon,Osterville,Sobriety First,"St. Peter's Epis., Wianno Ave.",8:30-9:30 a.m., 
CBB,Mon,Pepperell,Spiritual Awakening,"Church of the Holy Spirit, 1 Tucker St.",7:30 p.m., 
OD,Mon,Plymouth,Fore And Aft,"Christ Ch. Par. Hall, 149 Court St.",10:30 a.m.,Handicap Yes
CBB,Mon,Plymouth,Road to Recovery,"Little Red school House, Cedarville",6-7 p.m., 
OD,Mon,Plymouth,Mayflower,"St. Bonaventure, 803 State Rd.",7:00 p.m.,Handicap Yes
