codes,day,city,name,address,startTime,isAccessible
O,Sun,Dartmouth,Pathfinders,"U Mass. Dartmouth, Parking lot 4, Room 206",10:30 a.m., 
CD,Sun,Dartmouth,New Life,"St. Peter's Ch., 351 Elm St.",7-8:15 p.m., 
O*,Sun,Dedham,Village,"Unitarian, 670 High St.,",7:00 p.m. Beg. 6-7 p.m., 
CD,Sun,Dennis,Here & Now,"Scargo Bldg., 218 Main St.",3:30 p.m., 
OBB12,Sun,Dorchester,The Way Out,"IBEW Hall, 256 Freeport St.",9-10 a.m.,Handicap Yes
OD,Sun,Dorchester,Brotherhood,"I.B.E.W. Hall, 256 Freeport",10:30 a.m., 
O12,Sun,Dorchester,One Step At A Time,"U Mass Boston, Science Bldg.",7:30 p.m., 
O,Sun,Dorchester,James,"Lutheran, 500 Talbot Ave.",8:00 p.m., 
O,Sun,E. Boston,Orient Heights,Sal. Boys/Girls Club Café. 150 Byron St.,7:30-9:00 p.m., 
OBB,Sun,E. Bridgewater,Daily Living,"Union Cong. Ch., 105 Pleasant St.",6-7 p.m., 
C12,Sun,Fairhaven,Fresh Start,"Trinity Luth. Ch., 16 Temple Place",5:30 p.m.,Handicap Yes
O,Sun,Fairhaven,Independence,"Trinity Lutheran, 16 Temple Place",7:00 p.m., 
O,Sun,Fall River,Carry the Message,"St. Ann's Fraternity Hall, 144 Guild St.",9:30-10:30 a.m., 
OD,Sun,Falmouth,Each Day a New Beginning,"Falmouth Hospital, Faxon Conf. Rm.",7:30 a.m.,Yes
O,Sun,Falmouth,Breakfast,"Falmouth High School, Gifford St.",10:00 a.m., 
OD,Sun,Falmouth,Each Day A New Beginning,"Falmouth Hosp., Faxon Conf. Rm.",7:30 a.m., 
O,Sun,Falmouth,Village Green,"1st Cong., 68 Main",8:00 p.m., 
O12,Sun,Fitchburg,"Steps 1,2,3","Burbank Hosp., Urgent Care Conf.Room",9-10:15 a.m., 
O,Sun,Fitchburg,Sun. A.M.,"Notre Dame Hi, 151 South St.",10:15-11:30 a.m., 
C12,Sun,Foxboro,No Name,"St. Mark's, 116 South St.",7:30 p.m., 
CDM,Sun,Framingham,No Excuses,"Dunkin Donuts, 266 Concord St.",5:00 a.m.,Handicap Yes
OSD,Sun,Gardner,Templeton Today,"Office Park, 5 So. Lincoln St",10:30 - 11:30 a.m., 
OD,Sun,Gloucester,Cape Ann Early Bird,"Baptist Church, Gloucester Ave.",7-8 a.m., 
CBB,Sun,Gloucester,Village Big Book,"Annisquam Village Hall, 34 Leonard St.",7-8 p.m., 
O,Sun,Gloucester,Sunday and Sober,"St. John's Church, 48 Middle St. ( prk on Wash. St.)",7:30 p.m.,Handicap Yes
OSD,Sun,Hamilton,Hamilton,"Christ Church, 149 Asbury St.",3:30-4:30 p.m.,Handicap Yes
OD,Sun,Hanover,Light The Way,"Baptist Ch., Rte. 123 &Main St.",7-8 p.m., 
O*,Sun,Hanson,Unity,"Cong'l Church, 639 High St.","7:30 - 8:30 p.m., Beg. 6:30 p.m.", 
O,Sun,Haverhill,Wide Awake,"Amvets Post, 576 Primrose St.",9:30 - 11a.m.,Handicap Yes
OD,Sun,Haverhill,Brown Bagging It,"M.V. Hosp. Aud., 140 Lincoln Ave.",6:30-7:30p.m.,Handicap Yes
CD,Sun,Haverhill,Reflectlons,"Univ. Unit., 15 Kenoza Ave.",7-8 p.m., 
CDM,Sun,Hingham,Men's,"Resurrection Ch., 1057 Main St.",6:30 p.m., 
O,Sun,Holbrook, ,"St. Jos. School, 153 So. Franklin St., Rt. 37",7:30 p.m., 
CD,Sun,Holden,Chappins,"Cong. Ch., 155 Shrewsbury St.",6:45 p.m., 
O,Sun,Holliston,Sunday Night,"St. Mary's Base., Washington St.",8-9 p.m.,Handicap Yes
O,Sun,Hopedale,Ray Of Hope,"Community House, 43 Hope St.",10:30-11:30 a.m., 
OD,Sun,Hull,Atlantic Hill,"Sr. Ctr., 6 Atlantic House Court",7-8 p.m., 
O,Sun,Hyannis,Sunshine,"Barnstable High Cafe., W. Main St., Sept-June ONLY",10-11 a.m., 
O,Sun,Hyde Park,First Day,"K of C, 12 Wolcott Court",10 a.m., 
O,Sun,Jamaica Plain,New Hope,"Shattuck Hosp., Turville Conf. Rm.",7:30-8:30 p.m., 
OD,Sun,Kingston,Early Bird Gratitude,"VCF Ch., 8 Hilltop Rd.",7-8 a.m., 
O*,Sun,Lakeville,Serenity Lakes,"St. Martha Mary, Rte. 18","7:30 p.m., Beg. 6:30 p.m.", 
O,Sun,Lawrence,Back Door,"Psychological Ctr., 11 Union St., Rear",11:30-12:30 p.m., 
O,Sun,Leominster,Am I Listening,"Unitarian ch.,15 West St.",7:45 - 9 pm,Handicap Yes
O,Sun,Lowell,Sunrise Serenity,"Lowell House, 102 Appleton St.,",9 a.m., 
O12,Sun,Lowell,"Beginners Steps 1,2,3","Saints Hosp., 1 Hospital Dr. 1st. Fl. Conf. Rm.",1 - 2 p.m., 
CM,Sun,Lynn,Sun. A.M. Men's,"Nat'l Guard Bldg., 38 So. Common St.",10 a.m.,Handicap Yes
CB12,Sun,Lynnfield,BB Step Study,"Lutheran Ch., Chestnut & Lowell Sts.",7 p.m.,Handicap Yes
O,Sun,Malden, ,"Club 24, 787 Salem St.",10:00 a.m.,Handicap Yes
O,Sun,Malden,Suburban,"DAV Hall, 85 Willow St.",10- 11 a.m., 
OD,Sun,Malden,Daytime,"Club 24, 787 Salem St.",3:30 p.m., 
O,Sun,Malden,Early Morning,"First Lutheran, 98 Waite St.",7:30-8:30 a.m., 
OBB,Sun,Manchester,Sing.Beach Sob.,"Comm. Ctr., Train Sta.",9:30-10:30 a.m., 
CBB,Sun.,Mansfield,Kitchen Table,"Faith Fellowship Methodist, 9 N. Main",7:00 p.m., 
CD,Sun,Marblehead,Jump Start - Sunday,8 Anderson St.,7 -8:30 a.m., 
CD,Sun,Marblehead,Fort Clifton,"Comm. Ctr., 66 Clifton Ave.,",9-10 a.m. 8-8:45 a.m., 
CD,Sun,Marblehead, ,8 Anderson St,Noon-1:30 p.m., 
O12,Sun,Marblehead,Sunday Steps,8 Anderson St.,4-5 p.m., 
C12W,Sun,Marblehead,Candle Light,"Comm. Ctr., 66 Clifton Ave.",7:00 p.m., 
O,Sun,Marblehead,Original,8 Anderson St.,8-9 p.m., 
OD,Sun,Marlboro,Early Risers,"Congregational Ch., 30 High St.,@ Bolton St.",6:45 - 8 a.m., 
CSD,Sun,Marlboro,Simply Sober,33 Main St.,5:00 - 6:00 p.m.,Handicap Yes
OBB12,Sun,Marlboro,BBSS,"A.R.C., 31 Main St.",7:00 p.m., 
OD,Sun,Marshfield,As Bill Sees It,"Sanctuary Ch., 185 Plain St.",2-3 p.m.,Handicap Yes
O,Sun,Marshfield,Serenity,"No. Comm. Par. Hall, 72 Old Main St.",7-8 p.m.,Handicap Yes
OD,Sun,Martha's Vnyd.,Open Discussion,"Baptist Par. Hse., 66 William St., Vineyard Haven",6:45 a.m.,Yes
OSD,Sun,Martha's Vnyd.,Open Speaker Discussion,"Council on Aging, 21 Wamsutta Ave., Oak Bluffs",11:00 a.m.,Yes
O,Sun,Martha's Vnyd.,Grapevine,"Good Sherherd Par.Ctr., 55 School St.,Oak Bluffs",8:30 p.m., 
OSD,Sun,Maynard,Now,"Meth. Ch., 2 Summer",5:00 p.m., 
C12,Sun,Medfield,Step Sunday,"1st Baptist Ch., Rte 109 & South St.","7:30 p.m., Trad. 1st Sun.", 
CMD*,Sun,Medford, ,"Fire House, Medford & Main Sts.",10 a.m. Beg. 8:45-9:30 a.m., 
O,Sun,Medford, ,"St. Francis, 439 Fellsway West",7:30 p.m., 
O,Sun,Melrose, ,"Melrose/Wakefield Hosp.,Perkins Lecture Hall",10 - 11 a.m.,Handicap Yes
O,Sun,Melrose,Sunday,"Unit. Univ. Ch., 70 W. Emerson",7:00 p.m., 
OD,Sun,Merrimac,Ask A Question,"Pilgrim Cong., Church St.",7 p.m., 
OBB,Sun,Methuen, ,"St. Lucy, Rte. 110",7 p.m., 
O,Sun,Methuen,Today,"Ch. of Spiritual Life, 126 Merrimac St., Unit 5",7-8:15 p.m., 
CSD,Sun,Millis,Attitude Adjustment,"American Legion Hall,Post 208, 136 Curve St.",10-11 a.m., 
C12W,Sun,Milton, ,"Milton Hospital, 92 Highland St.",6:30 p.m., 
OD,Sun,Nantucket,Drop In Center,Vesper Lane,8:00 a.m., 
OD,Sun,Nantucket,Drop In Center,Vesper Lane,9:30 a.m., 
W,Sun,Nantucket,Women's Meeting,"Drop In Center, Vesper Lane",5:30 p.m., 
OD,Sun,Nantucket,Drop In Center,Vesper Lane,8:00 p.m., 
OD,Sun,Natick,New Friends,"Metro West Med., 67 Union St., Helm Aud.",10:30 a.m., 
O,Sun,Natick,Road to Happy Destiny,"Metro West Med., 67 Union St., Helm Aud.",7:30-8:30 p.m,Handicap Yes
OD,Sun,Needham,On Time,"Christ Episcopal Church, 1132 Highland Ave.",7:00 p.m.,Handicap Yes
OSD,Sun,New Bedford,Daily Reflections,"Faith Ministries, 177 Cove St.",Noon, 
OGSD,Sun,New Bedford,Sober & Out,"Pilgrim Meth. Ch., 634 Purchase St.",5:30-6:30 p.m., 
OD,Sun,New Bedford,Freedom of Speech,"St. Martin's Ch., county & River Sts.",7:00 p.m., 
OSD,Sun,Newburyport,Sundown,"St. Paul's, High St.",5:30-6:30 p.m., 
O,Sun,Newburyport,Original,"Unitarian Church, 26 Pleasant St.",8:00-9:00 p.m., 
OD,Sun,Newton,Jump Start,"Ch. of Messiah, 1900 Comm. Ave.",6:30-7:30 a.m., 
O,Sun,Newton,440,"Am. Legion, 295 California St.",9:30-10:30 a.m., 
CBB,Sun,Newton,S.U.A.A.M.,"New. Well. Hosp., Bowles Conf. Ctr., 2nd Fl.",10:30 a.m.,Handicap Yes
O12,Sun,Newton,Norumbega,"DCR, 107 Charles St.",Noon, 
C12M,Sun,Newton,Men's Time for Action,"DCR,107 Charles St.",5:00 p.m., 
OSD,Sun,Newton,New Beginning,"Elliot Ch., 474 Centre St.",7:30 p.m., 
O,Sun,Newton,Sunday P.M.,"New. Well. Hosp., Allen Riddle Hall",7:30-8:30 p.m.,Handicap Yes
O,Sun,No. Attleboro,Friendly,"Central Cong., 115 Commonwealth Ave.",7-8 p.m., 
C12W,Sun,No. Reading,Hag,"Aldersgate Ch., Park St.",7:00 p.m., 
ODM,Sun,North Reading,Dealing Woth Difficulties,"United Methodist Ch., 235 Park St.",5-6 pm, 
OSD,Sun,Norwood,First Day,"Norwood Hospital, Cafeteria Wash. St.",10:30 a.m., 
OD,Sun,Orleans, ,"Drop In Center, 26 Giddiah Hill Rd.,",7 a.m.& 5 p.m.,Handicap Yes
O,Sun,Orleans,Discussion,"Odd Fellows Hall 132, 1 Namskaket Rd.",10:30 a.m., 
O,Sun,Orleans,Lower Cape,"Ch. Holy Spirit, Monument Rd. &Rte. 28",7:30 p.m., 
O,Sun,Osterville,Safe Harbor,"Assumption Church, 76 Wianno Ave.",7:00 p.m., 
O,Sun,Peabody,Kings Grant A.M.,"Knights of Columbus, 96 Main St.",9:00 a.m., 
OSD,Sun,Pembroke,South Shore Friends,"Pembroke Hosp., 199 Oak St.",9:30-10:30 a.m., 
O*,Sun,Pembroke,Center,"Community Ctr., 128 Center St.",10:00 a.m. beg. 9:00 a.m., 
CD12,Sun,Pepperell,Sun. A.M. Steps,"VFW, Lower Mtg. Rm.,55 Leighton St.",9 a.m., 
O*,Sun,Plymouth,Eel River,"St. Peter's, 10 Memorial Dr.",9-10 a.m. beg. 8-8:45 a.m., 
OBBl2,Sun,Plymouth,Big Book Step Study,"Christ Ch. Episcopal, 149 Court St.",6:30 p.m., 
CSD,Sun,Plymouth,Anchor,"Anchor House, 601/2 Cherry St.",7:30-8:30 p.m., 
OD,Sun,Pocasset,Hit The Deck,"Firehouse, 311 Barlows Lndg. Rd.",9-10 a.m., 
ODBB,Sun,Pocasset,Roots & Causes,"Baptist Ch., 292 Barlows Landing Rd.",5:30 - 6:30 p.m., 
O,Sun,Pocasset, ,"Cataumet Meth. Ch., County Rd.",7:30 p.m., 
OD,Sun,Provincetown, ,"U.U. Mtg. Hse., 236 Commercial St.",8:45 a.m.,Handicap Yes
OD,Sun,Provincetown,Beginners,"PASG Office, 96 Bradford St.",6:30 p.m.,Handicap Yes
O,Sun,Quincy,Everybody's,"K of C, Hancock St.@ Hollis Avenue",9:30 a.m., 
OD,Sun,Quincy,Sunday Too,"Cong. Ch., 48 Winthrop Ave.",2:00 p.m., 
O,Sun,Quincy,Serenity,"Good Shepard Ch., 308 W. Squantum St.",7-8 p.m., 
C12,Sun,Quincy,S. Shore Step,"United Meth. Ch., 40 Beale St.",7:30 p.m., 
O,Sun,Quincy,Snug Harbor,227 Sea St. formerly Our Lady of Good Counsel,8-9 p.m., 
O,Sun,Reading, ,"Congregational, 25 Woburn Street",7-8 p.m.,Handicap Yes
C12,Sun,Revere,Sincerity,"St. Anthony's, 250 Revere St., Rear",7-8 p.m., 
ODW,Sun,Rockport,New Women Meditation,"1st Cong. Ch., 12 School St.",2-3 p.m.,Handicap Yes
ODW,Sun,Rockport,New Women Meditation,"1st Cong. Church, 12 School St.",2 - 3 p.m.,Handicap Yes
ODW,Sun,Rockport,Peace thru Step 11,"Congregational Ch., 12 School St.",2 p.m., 
O,Sun,Salem,Witch City,"State College, So. Campus Cafe., Harrison Rd.",10-11 a.m., 
OBB12,Sun,Salem,Smart Start,"Life Bridge, 56 Margin St.",4 - 5 p.m., 
OD,Sun,Salem,Smart Start,"Mission, 56 Margin St",4-5 pm, 
CMSD,Sun,Salisbury,Men's,"Senior Center, 37 Lafayette Rd.",9:00 a.m., 
O,Sun,Sandwich,Mashpee,"DeWitt Clinton Hall, 175 Main St.",9:30 a.m.,Handicap Yes
OD4,Sun,Saugus,Serenity,"V.F.W., 190 Main St.",9-10 a.m., 
CD,Sun,Scituate,Serenity Now,"Harbor United Meth. Ch., 1st Parish Rd.",5:30 -6:30 p.m., 
O,Sun,Scituate,New Freedom,"St. Mary's Hall, E. Foster Rd.",8 p.m., 
O12,Sun,Shirley,Step,"United Ch., Lancaster + Harvard Rds.",7:30 p.m., 
O,Sun,Shrewsbury, ,"MA Veteran's Inc., 59 South St.",10 - 11 a.m.,Handicap Yes
CBB,Sun,So. Boston,Pilot House,"Task Force, 345 Old Colony Ave.",7:15 a.m., 
O,Sun,So. Boston,Hope's Here,"Medicine Wheel Gallery, 110 K St., @ E. 1st.",7-8 p.m., 
ODYP,Sun,So. Boston,Young People,"4th Presbyterian Ch., 340 Dor. St.",7:30-8:30 p.m.,Handicap Yes
CDM,Sun,Somerset,Men's,"Old Town Hall, 1464 County St., Rte. 138",10 a.m., 
O,Sun,Somerville,Tnt,"Lions Club, 9 New washington St.",10:30-NOON, 
CBBW,Sun,South Boston,Sobah Sista's,"Jos. Tierney Learning Ctr., 125 Mercer St.",9:30 - 10:30 AM, 
O*,Sun,Southbridge, ,"Holy Trinity, 446 Hamilton St.","7-8 p.m., Beg. 5:45-6:45 p.m.", 
O*,Sun,Stoughton,Sun. A.M.,"K. of C., 14 Seaver St.","9:00 a.m., Beg. 8 a.m.", 
O,Sun,Stow, ,"Old Town Hall, 375 Great Rd.",11:00 a.m., 
O,Sun,Sudbury, ,"First Parish Ch., Concord Rd.",7:30-8:30 p.m.,Handicap Yes
CS,Sun,Swampscott,This Is A.A.,"St. John's Ch., 174 Humphrey St.",6:30 p.m., 
O12,Sun,Swansea,Way Out,"First Christian Cong., Rte. 6",7:00 p.m., 
O,Sun,Taunton,Silver City,"Bristol Plym. Reg. High, 940 County St., Rt. 140",7:30-8:30 p.m., 
O,Sun,Tewksbury,New Life,"Tewk. Hospital Chapel, 365 East St.",10:00 a.m.,Handicap Yes
CBB,Sun,Tewksbury,Just Don't Drink,"United Meth. Ch., Main & South",6 p.m., 
O,Sun,Topsfield,Early,"Episcopal, Ch., 124 River Rd.",6-7 p.m., 
O,Sun,W. Barnstable, ,"Community Ctr., Rte. 149",7:30 p.m., 
